date_time;bus_point;real_power;reactive_power
2017/06/03-09:55;MELTEMI;17.94;06.40
2017/06/03-10:00;MELTEMI;17.07;06.28
2017/06/03-10:05;MELTEMI;14.87;06.32
2017/06/03-10:10;MELTEMI;14.84;06.09
2017/06/03-10:15;MELTEMI;15.21;06.22
2017/06/03-10:20;MELTEMI;14.81;06.11
2017/06/03-10:25;MELTEMI;15.45;06.23
2017/06/03-10:30;MELTEMI;16.45;06.22
2017/06/03-10:35;MELTEMI;15.24;06.22
2017/06/03-10:40;MELTEMI;15.42;06.15
2017/06/03-10:45;MELTEMI;15.43;06.17
2017/06/03-10:50;MELTEMI;16.01;06.21
2017/06/03-10:55;MELTEMI;15.21;06.16
2017/06/03-11:00;MELTEMI;15.90;06.15
2017/06/03-11:05;MELTEMI;14.67;06.15
2017/06/03-11:10;MELTEMI;16.93;06.00
2017/06/03-11:15;MELTEMI;15.92;06.04
2017/06/03-11:20;MELTEMI;15.94;06.10
2017/06/03-11:25;MELTEMI;16.22;06.07
2017/06/03-11:30;MELTEMI;17.01;06.06
2017/06/03-11:35;MELTEMI;17.28;06.08
2017/06/03-11:40;MELTEMI;17.20;06.05
2017/06/03-11:45;MELTEMI;15.38;06.06
2017/06/03-11:50;MELTEMI;15.89;06.04
2017/06/03-11:55;MELTEMI;15.93;06.03
2017/06/03-12:00;MELTEMI;16.45;06.02
2017/06/03-12:05;MELTEMI;17.19;06.06
2017/06/03-12:10;MELTEMI;16.40;05.92
2017/06/03-12:15;MELTEMI;17.25;05.90
2017/06/03-12:20;MELTEMI;17.47;05.90
2017/06/03-12:25;MELTEMI;17.49;05.87
2017/06/03-12:30;MELTEMI;17.33;05.87
2017/06/03-12:35;MELTEMI;17.35;05.86
2017/06/03-12:40;MELTEMI;16.96;05.90
2017/06/03-12:45;MELTEMI;16.95;05.93
2017/06/03-12:50;MELTEMI;16.51;05.88
2017/06/03-12:55;MELTEMI;16.20;05.88
2017/06/03-13:00;MELTEMI;16.20;05.89
2017/06/03-13:05;MELTEMI;16.16;05.85
2017/06/03-13:10;MELTEMI;17.45;06.18
2017/06/03-13:15;MELTEMI;16.01;06.28
2017/06/03-13:20;MELTEMI;17.15;06.34
2017/06/03-13:25;MELTEMI;17.41;06.55
2017/06/03-13:30;MELTEMI;17.34;06.14
2017/06/03-13:35;MELTEMI;17.55;06.28
2017/06/03-13:40;MELTEMI;16.95;06.24
2017/06/03-13:45;MELTEMI;16.34;06.17
2017/06/03-13:50;MELTEMI;16.70;06.34
2017/06/03-13:55;MELTEMI;16.44;06.27
2017/06/03-14:00;MELTEMI;17.70;06.26
2017/06/03-14:05;MELTEMI;16.91;06.08
2017/06/03-14:10;MELTEMI;15.57;06.03
2017/06/03-14:15;MELTEMI;15.56;06.08
2017/06/03-14:20;MELTEMI;16.47;06.10
2017/06/03-14:25;MELTEMI;16.22;06.39
2017/06/03-14:30;MELTEMI;16.93;06.22
2017/06/03-14:35;MELTEMI;16.00;06.36
2017/06/03-14:40;MELTEMI;16.35;06.21
2017/06/03-14:45;MELTEMI;16.47;06.29
2017/06/03-14:50;MELTEMI;16.41;06.16
2017/06/03-14:55;MELTEMI;17.04;05.98
2017/06/03-15:00;MELTEMI;16.77;06.09
2017/06/03-15:05;MELTEMI;18.11;06.06
2017/06/03-15:10;MELTEMI;16.03;06.06
2017/06/03-15:15;MELTEMI;15.78;05.82
2017/06/03-15:20;MELTEMI;16.78;05.87
2017/06/03-15:25;MELTEMI;16.43;05.85
2017/06/03-15:30;MELTEMI;16.70;05.95
2017/06/03-15:35;MELTEMI;17.76;06.12
2017/06/03-15:40;MELTEMI;16.87;06.08
2017/06/03-15:45;MELTEMI;17.56;06.07
2017/06/03-15:50;MELTEMI;18.65;05.92
2017/06/03-15:55;MELTEMI;18.51;05.62
2017/06/03-16:00;MELTEMI;18.59;05.69
2017/06/03-16:05;MELTEMI;18.35;05.76
2017/06/03-16:10;MELTEMI;19.35;05.83
2017/06/03-16:15;MELTEMI;19.25;05.73
2017/06/03-16:20;MELTEMI;19.37;05.70
2017/06/03-16:25;MELTEMI;20.68;05.66
2017/06/03-16:30;MELTEMI;20.74;05.63
2017/06/03-16:35;MELTEMI;19.28;05.50
2017/06/03-16:40;MELTEMI;20.36;05.52
2017/06/03-16:45;MELTEMI;18.97;05.54
2017/06/03-16:50;MELTEMI;19.12;05.68
2017/06/03-16:55;MELTEMI;20.39;05.53
2017/06/03-17:00;MELTEMI;21.82;05.67
2017/06/03-17:05;MELTEMI;20.98;05.54
2017/06/03-17:10;MELTEMI;22.87;05.63
2017/06/03-17:15;MELTEMI;19.40;05.55
2017/06/03-17:20;MELTEMI;20.41;05.62
2017/06/03-17:25;MELTEMI;20.95;05.57
2017/06/03-17:30;MELTEMI;19.80;05.54
2017/06/03-17:35;MELTEMI;20.53;05.55
2017/06/03-17:40;MELTEMI;23.56;05.63
2017/06/03-17:45;MELTEMI;23.76;05.50
2017/06/03-17:50;MELTEMI;21.86;05.48
2017/06/03-17:55;MELTEMI;21.57;05.51
2017/06/03-18:00;MELTEMI;22.17;05.60
2017/06/03-18:05;MELTEMI;23.04;05.58
2017/06/03-18:10;MELTEMI;20.32;05.74
2017/06/03-18:15;MELTEMI;19.03;05.73
2017/06/03-18:20;MELTEMI;18.66;05.69
2017/06/03-18:25;MELTEMI;19.50;05.72
2017/06/03-18:30;MELTEMI;20.14;05.62
2017/06/03-18:35;MELTEMI;20.17;05.66
2017/06/03-18:40;MELTEMI;20.33;05.61
2017/06/03-18:45;MELTEMI;19.63;05.81
2017/06/03-18:50;MELTEMI;18.19;05.59
2017/06/03-18:55;MELTEMI;20.79;05.64
2017/06/03-19:00;MELTEMI;21.27;05.76
2017/06/03-19:05;MELTEMI;20.54;06.01
2017/06/03-19:10;MELTEMI;20.55;05.89
2017/06/03-19:15;MELTEMI;20.19;05.93
2017/06/03-19:20;MELTEMI;20.52;06.04
2017/06/03-19:25;MELTEMI;19.15;05.93
2017/06/03-19:30;MELTEMI;19.36;06.17
2017/06/03-19:35;MELTEMI;18.85;05.74
2017/06/03-19:40;MELTEMI;18.54;06.02
2017/06/03-19:45;MELTEMI;18.14;05.66
2017/06/03-19:50;MELTEMI;19.14;05.67
2017/06/03-19:55;MELTEMI;19.08;05.39
2017/06/03-20:00;MELTEMI;19.52;05.80
2017/06/03-20:05;MELTEMI;18.63;05.76
2017/06/03-20:10;MELTEMI;19.31;05.87
2017/06/03-20:15;MELTEMI;18.93;05.92
2017/06/03-20:20;MELTEMI;18.11;05.47
2017/06/03-20:25;MELTEMI;18.04;05.80
2017/06/03-20:30;MELTEMI;17.57;05.34
2017/06/03-20:35;MELTEMI;17.84;05.77
2017/06/03-20:40;MELTEMI;17.49;05.49
2017/06/03-20:45;MELTEMI;17.43;05.83
2017/06/03-20:50;MELTEMI;16.90;05.35
2017/06/03-20:55;MELTEMI;16.83;05.50
2017/06/03-21:00;MELTEMI;16.71;05.52
2017/06/03-21:05;MELTEMI;16.38;05.32
2017/06/03-21:10;MELTEMI;16.76;05.86
2017/06/03-21:15;MELTEMI;15.10;05.31
2017/06/03-21:20;MELTEMI;15.49;05.52
2017/06/03-21:25;MELTEMI;14.46;05.03
2017/06/03-21:30;MELTEMI;14.63;05.33
2017/06/03-21:35;MELTEMI;14.90;05.15
2017/06/03-21:40;MELTEMI;14.89;05.41
2017/06/03-21:45;MELTEMI;14.55;05.09
2017/06/03-21:50;MELTEMI;13.40;04.97
2017/06/03-21:55;MELTEMI;14.13;05.11
2017/06/03-22:00;MELTEMI;13.16;04.83
2017/06/03-22:05;MELTEMI;13.49;05.25
2017/06/03-22:10;MELTEMI;14.67;04.91
2017/06/03-22:15;MELTEMI;14.82;05.20
2017/06/03-22:20;MELTEMI;14.43;04.78
2017/06/03-22:25;MELTEMI;14.24;05.01
2017/06/03-22:30;MELTEMI;13.95;04.89
2017/06/03-22:35;MELTEMI;14.09;04.76
2017/06/03-22:40;MELTEMI;14.42;05.25
2017/06/03-22:45;MELTEMI;14.16;04.87
2017/06/03-22:50;MELTEMI;14.23;05.30
2017/06/03-22:55;MELTEMI;13.51;04.62
2017/06/03-23:00;MELTEMI;13.84;05.00
2017/06/03-23:05;MELTEMI;12.10;04.75
2017/06/03-23:10;MELTEMI;14.37;05.44
2017/06/03-23:15;MELTEMI;13.67;04.80
2017/06/03-23:20;MELTEMI;11.86;05.15
2017/06/03-23:25;MELTEMI;11.64;04.84
2017/06/03-23:30;MELTEMI;11.29;04.58
2017/06/03-23:35;MELTEMI;11.77;04.87
2017/06/03-23:40;MELTEMI;11.27;04.56
2017/06/03-23:45;MELTEMI;13.19;05.77
2017/06/03-23:50;MELTEMI;12.40;05.08
2017/06/03-23:55;MELTEMI;12.77;05.42
2017/06/04-00:00;MELTEMI;12.04;04.66
2017/06/04-00:05;MELTEMI;12.32;05.29
2017/06/04-00:10;MELTEMI;11.14;05.25
2017/06/04-00:15;MELTEMI;13.67;06.15
2017/06/04-00:20;MELTEMI;10.86;04.92
2017/06/04-00:25;MELTEMI;10.76;04.82
2017/06/04-00:30;MELTEMI;11.32;05.32
2017/06/04-00:35;MELTEMI;11.28;05.29
2017/06/04-00:40;MELTEMI;11.24;05.33
2017/06/04-00:45;MELTEMI;10.69;04.24
2017/06/04-00:50;MELTEMI;10.88;04.76
2017/06/04-00:55;MELTEMI;10.53;04.06
2017/06/04-01:00;MELTEMI;10.06;03.68
2017/06/04-01:05;MELTEMI;10.50;04.56
2017/06/04-01:10;MELTEMI;10.07;04.18
2017/06/04-01:15;MELTEMI;10.74;05.43
2017/06/04-01:20;MELTEMI;12.54;04.70
2017/06/04-01:25;MELTEMI;12.74;04.95
2017/06/04-01:30;MELTEMI;12.38;04.19
2017/06/04-01:35;MELTEMI;12.99;05.23
2017/06/04-01:40;MELTEMI;12.54;04.43
2017/06/04-01:45;MELTEMI;13.14;05.91
2017/06/04-01:50;MELTEMI;10.53;04.97
2017/06/04-01:55;MELTEMI;10.49;04.83
2017/06/04-02:00;MELTEMI;10.99;05.03
2017/06/04-02:05;MELTEMI;10.91;04.24
2017/06/04-02:10;MELTEMI;10.29;04.86
2017/06/04-02:15;MELTEMI;09.57;04.04
2017/06/04-02:20;MELTEMI;10.92;05.85
2017/06/04-02:25;MELTEMI;10.29;05.24
2017/06/04-02:30;MELTEMI;12.75;05.65
2017/06/04-02:35;MELTEMI;12.92;05.48
2017/06/04-02:40;MELTEMI;10.83;06.34
2017/06/04-02:45;MELTEMI;10.64;05.47
2017/06/04-02:50;MELTEMI;10.37;05.32
2017/06/04-02:55;MELTEMI;10.67;05.72
2017/06/04-03:00;MELTEMI;10.39;05.29
2017/06/04-03:05;MELTEMI;10.25;05.09
2017/06/04-03:10;MELTEMI;11.41;04.08
2017/06/04-03:15;MELTEMI;09.99;05.03
2017/06/04-03:20;MELTEMI;10.70;04.75
2017/06/04-03:25;MELTEMI;11.06;05.18
2017/06/04-03:30;MELTEMI;10.48;05.29
2017/06/04-03:35;MELTEMI;10.39;05.17
2017/06/04-03:40;MELTEMI;09.69;04.31
2017/06/04-03:45;MELTEMI;09.61;04.27
2017/06/04-03:50;MELTEMI;10.03;05.10
2017/06/04-03:55;MELTEMI;09.80;04.59
2017/06/04-04:00;MELTEMI;11.22;05.68
2017/06/04-04:05;MELTEMI;10.05;04.49
2017/06/04-04:10;MELTEMI;10.73;05.50
2017/06/04-04:15;MELTEMI;10.82;05.37
2017/06/04-04:20;MELTEMI;09.83;04.48
2017/06/04-04:25;MELTEMI;10.22;05.30
2017/06/04-04:30;MELTEMI;10.17;04.90
2017/06/04-04:35;MELTEMI;09.96;05.18
2017/06/04-04:40;MELTEMI;11.03;05.24
2017/06/04-04:45;MELTEMI;10.68;05.10
2017/06/04-04:50;MELTEMI;09.58;04.57
2017/06/04-04:55;MELTEMI;11.56;04.96
2017/06/04-05:00;MELTEMI;10.40;05.21
2017/06/04-05:05;MELTEMI;11.95;05.82
2017/06/04-05:10;MELTEMI;13.44;05.87
2017/06/04-05:15;MELTEMI;12.41;06.04
2017/06/04-05:20;MELTEMI;12.64;06.09
2017/06/04-05:25;MELTEMI;12.74;05.28
2017/06/04-05:30;MELTEMI;12.08;04.94
2017/06/04-05:35;MELTEMI;13.07;05.26
2017/06/04-05:40;MELTEMI;13.69;05.46
2017/06/04-05:45;MELTEMI;10.75;05.69
2017/06/04-05:50;MELTEMI;14.33;05.93
2017/06/04-05:55;MELTEMI;12.88;04.88
2017/06/04-06:00;MELTEMI;13.02;05.05
2017/06/04-06:05;MELTEMI;13.80;05.11
2017/06/04-06:10;MELTEMI;14.04;05.88
2017/06/04-06:15;MELTEMI;14.05;05.10
2017/06/04-06:20;MELTEMI;15.57;06.09
2017/06/04-06:25;MELTEMI;15.90;05.67
2017/06/04-06:30;MELTEMI;15.17;06.25
2017/06/04-06:35;MELTEMI;14.65;05.70
2017/06/04-06:40;MELTEMI;15.15;05.77
2017/06/04-06:45;MELTEMI;11.99;04.96
2017/06/04-06:50;MELTEMI;13.08;05.11
2017/06/04-06:55;MELTEMI;12.10;05.04
2017/06/04-07:00;MELTEMI;14.02;06.02
2017/06/04-07:05;MELTEMI;12.74;04.58
2017/06/04-07:10;MELTEMI;15.12;06.09
2017/06/04-07:15;MELTEMI;14.98;05.16
2017/06/04-07:20;MELTEMI;16.11;06.03
2017/06/04-07:25;MELTEMI;15.37;05.09
2017/06/04-07:30;MELTEMI;16.34;06.04
2017/06/04-07:35;MELTEMI;14.49;05.87
2017/06/04-07:40;MELTEMI;12.63;05.70
2017/06/04-07:45;MELTEMI;15.82;06.37
2017/06/04-07:50;MELTEMI;15.35;06.33
2017/06/04-07:55;MELTEMI;13.85;05.80
2017/06/04-08:00;MELTEMI;15.31;06.17
2017/06/04-08:05;MELTEMI;15.29;06.21
2017/06/04-08:10;MELTEMI;16.16;06.33
2017/06/04-08:15;MELTEMI;14.85;06.19
2017/06/04-08:20;MELTEMI;13.46;05.62
2017/06/04-08:25;MELTEMI;15.47;06.10
2017/06/04-08:30;MELTEMI;15.04;05.74
2017/06/04-08:35;MELTEMI;14.34;06.07
2017/06/04-08:40;MELTEMI;14.32;06.05
2017/06/04-08:45;MELTEMI;15.21;06.30
2017/06/04-08:50;MELTEMI;14.72;06.26
2017/06/04-08:55;MELTEMI;15.50;05.75
2017/06/04-09:00;MELTEMI;15.99;05.53
2017/06/04-09:05;MELTEMI;17.92;05.62
2017/06/04-09:10;MELTEMI;18.51;05.65
2017/06/04-09:15;MELTEMI;16.54;05.60
2017/06/04-09:20;MELTEMI;17.47;06.36
2017/06/04-09:25;MELTEMI;17.80;05.72
2017/06/04-09:30;MELTEMI;18.57;06.34
2017/06/04-09:35;MELTEMI;18.24;06.39
2017/06/04-09:40;MELTEMI;17.59;06.39
2017/06/04-09:45;MELTEMI;17.42;06.40
2017/06/04-09:50;MELTEMI;18.73;06.38
2017/06/04-09:55;MELTEMI;17.94;06.40
